country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
India,1974,Population density (people per sq. km of land area),IND,200.808354326498,,,0,South Asia
India,1973,Population density (people per sq. km of land area),IND,196.242284549592,,,0,South Asia
India,1972,Population density (people per sq. km of land area),IND,191.875440856454,,,0,South Asia
India,1971,Population density (people per sq. km of land area),IND,187.709627369929,,,0,South Asia
India,1970,Population density (people per sq. km of land area),IND,183.595487674854,,,0,South Asia
India,1969,Population density (people per sq. km of land area),IND,179.564892926453,,,0,South Asia
India,1968,Population density (people per sq. km of land area),IND,175.810119434009,,,0,South Asia
India,1967,Population density (people per sq. km of land area),IND,172.073218327789,,,0,South Asia
India,1966,Population density (people per sq. km of land area),IND,168.418515802892,,,0,South Asia
India,1965,Population density (people per sq. km of land area),IND,164.853287546373,,,0,South Asia
India,1964,Population density (people per sq. km of land area),IND,161.183643830364,,,0,South Asia
India,1963,Population density (people per sq. km of land area),IND,157.453299318241,,,0,South Asia
India,1962,Population density (people per sq. km of land area),IND,153.802175441193,,,0,South Asia
India,1961,Population density (people per sq. km of land area),IND,150.197171724646,,,0,South Asia
India,1960,Population density (people per sq. km of land area),IND,,,,0,South Asia
Sri Lanka,2024,Population density (people per sq. km of land area),LKA,,,,0,South Asia
Sri Lanka,2023,Population density (people per sq. km of land area),LKA,,,,0,South Asia
Sri Lanka,2022,Population density (people per sq. km of land area),LKA,358.567733591982,,,0,South Asia
Sri Lanka,2021,Population density (people per sq. km of land area),LKA,358.163595215002,,,0,South Asia
Sri Lanka,2020,Population density (people per sq. km of land area),LKA,354.332363401229,,,0,South Asia
Sri Lanka,2019,Population density (people per sq. km of land area),LKA,352.431694638296,,,0,South Asia
Sri Lanka,2018,Population density (people per sq. km of land area),LKA,350.284495021337,,,0,South Asia
Sri Lanka,2017,Population density (people per sq. km of land area),LKA,346.46890601522,,,0,South Asia
Sri Lanka,2016,Population density (people per sq. km of land area),LKA,342.672030762768,,,0,South Asia
Sri Lanka,2015,Population density (people per sq. km of land area),LKA,338.810527846445,,,0,South Asia
Sri Lanka,2014,Population density (people per sq. km of land area),LKA,331.334715356403,,,0,South Asia
Sri Lanka,2013,Population density (people per sq. km of land area),LKA,328.257056290863,,,0,South Asia
Sri Lanka,2012,Population density (people per sq. km of land area),LKA,337.577069047999,,,0,South Asia
Sri Lanka,2011,Population density (people per sq. km of land area),LKA,335.019103811194,,,0,South Asia
Sri Lanka,2010,Population density (people per sq. km of land area),LKA,332.946723010684,,,0,South Asia
Sri Lanka,2009,Population density (people per sq. km of land area),LKA,330.990830808484,,,0,South Asia
Sri Lanka,2008,Population density (people per sq. km of land area),LKA,328.964726518896,,,0,South Asia
Sri Lanka,2007,Population density (people per sq. km of land area),LKA,326.782730027109,,,0,South Asia
Sri Lanka,2006,Population density (people per sq. km of land area),LKA,324.548094402807,,,0,South Asia
Sri Lanka,2005,Population density (people per sq. km of land area),LKA,322.381183224366,,,0,South Asia
Sri Lanka,2004,Population density (people per sq. km of land area),LKA,320.325386700686,,,0,South Asia
Sri Lanka,2003,Population density (people per sq. km of land area),LKA,318.1553340775,,,0,South Asia
Sri Lanka,2002,Population density (people per sq. km of land area),LKA,315.830840376336,,,0,South Asia
Sri Lanka,2001,Population density (people per sq. km of land area),LKA,312.55560516664,,,0,South Asia
