"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","ZAF.FA65.XDC.A","OBS_VALUE","South Africa","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","1229.0","","","","24.0","887.072763","1712.44089197","7131.23940134"
"IMF.STA:FAS(4.0.0)","MDG.FA65.XDC.A","OBS_VALUE","Madagascar, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","4804222.0","7330802.28394","1236173.458713","2.1158544E7","2.4516015E7","3.30549057936041E7","4.50224156281672E7",""
"IMF.STA:FAS(4.0.0)","UGA.FA65.POGDP.A","OBS_VALUE","Uganda","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","43.58930519044301","52.08183871412438","59.26121903759526","55.33498130840647","67.09804010412901","93.66901674439833","",""
"IMF.STA:FAS(4.0.0)","PAK.FA65.XDC.A","OBS_VALUE","Pakistan","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","2169541.0","2804008.0","3659074.17241285","4504780.09076812","6785763.87623521","8971352.49127806","1.26017386668542E7","1.81823122252573E7"
"IMF.STA:FAS(4.0.0)","BWA.FA65.XDC.A","OBS_VALUE","Botswana","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","4092.175341","5670.0","9866.469554","12716.045275","18773.28804021","29550.22764099","34777.019814023","40593.91883478"
"IMF.STA:FAS(4.0.0)","MWI.FA65.POGDP.A","OBS_VALUE","Malawi","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","5.34933268250278","7.98205665584276","13.1683651329337","20.3529187200793","27.890468367605","","54.0299699388191",""
"IMF.STA:FAS(4.0.0)","GHA.FA65.XDC.A","OBS_VALUE","Ghana","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","78508.9","155844.84","223207.23","309352.25","564155.9","829000.0","1072300.0","1919874.0"
"IMF.STA:FAS(4.0.0)","PLW.FA65.XDC.A","OBS_VALUE","Palau, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","EST.FA65.XDC.A","OBS_VALUE","Estonia, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","EST.FA65.POGDP.A","OBS_VALUE","Estonia, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
